old,new
prod,production
dist,distribution
comm,commercial
hrdware,hardware
not elsewhere class.,unclassified
spec,special
clng,cleaning
sanit,sanitary
repr,repair
artificl,artificial
supp,supply
paymnt,payment
srvce,service
termnls,terminal
unclass,unclassified
facili,facility
sup,supply
merch,merchandise
comfectionery,confectionery
uphol,upholstery
serv,service
pts,part
comb,combined
reta,retail
centrs,center
liq,liquor
svs,service
alteratns,alterations
eqpt,equipment
mat,material
apperel,apparel
rec,recreation
mrktg,marketing
subscr,subscription
misc,miscellaneous
dolpinar,dolphin
merchand,merchandise
sware,software
prec,precious
mtl,metal
jewl,jewellery
lab,laboratory
dent,dental
opth,ophthalmic
hosp,hospital
maint,maintenance
mrkting,marketing
carni,carnival
provisns,provision
acssors,accessory
elec.,electronic
equip,equipment
unifm,uniform
lodgin,lodging
establishme,establishment
