Opportunity ID,MCC_DESC,Industry_Corrected,Contract Start Date,Purchased Amount,Written Off,Date Written Off,Amount at Write Off
0062X00000zIDn5QAG,JEWELLERY STORES WATCHES CLOCK,Fashion Retail,2019-10-29,12800.0,0,,0.0
0062X00000y1pNIQAY,TELECOMMUNICATION EQUIPMENT,Other Services,2019-04-30,6250.0,0,,0.0
0062X00000y1N4fQAE,RESTAURANTS (EXCEPT EXPRESS),Bar / Pub / Restaurant,2019-05-03,22378.0,0,,0.0
0062X00000vOqcgQAC,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2018-08-20,30960.0,0,,0.0
0062X00000y3i7PQAQ,FLOOR COVERING STORES,Other Retailer,2019-06-04,8330.0,0,,0.0
0062X00000wdHjPQAU,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2018-12-14,22200.0,0,,0.0
0062X00000vOouxQAC,DRY CLEANERS,Other Services,2018-09-04,3059.0,0,,0.0
0062X00000xYu3LQAS,AUTO RENTALS,Other Services,2019-03-20,2660.0,1,2019-11-01,1968.87
0062X00000xaAfyQAE,REAL ESTATE AGENTS - RENTALS,Other Services,2019-03-29,17550.0,0,,0.0
0062X00000y2OjqQAE,RESTAURANTS (EXCEPT EXPRESS),Bar / Pub / Restaurant,2019-05-08,29500.0,0,,0.0
0062X00000vY2hOQAS,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2018-07-19,11305.0,0,,0.0
0062X00000zMYX3QAO,INDUSTRIAL SUP-UNCLASS (P.CRD),Other Services,2019-09-05,109000.0,0,,0.0
0062X00000x8dhUQAQ,TAXICABS & LIMOUSINES,Other Services,2019-02-08,1350.0,0,,0.0
0062X00000vQKYuQAO,RESTAURANTS (EXCEPT EXPRESS),Bar / Pub / Restaurant,2018-09-19,2064.0,0,,0.0
0062X00000z0yBOQAY,BUSINESS SERVICES MISC,Other Retailer,2019-09-13,4050.0,0,,0.0
0062X00000wcuJpQAI,DRINKING PLACES (ALCOHOLIC),Bar / Pub / Restaurant,2018-12-12,12221.0,0,,0.0
0062X00000y1J0MQAU,BARBER & BEAUTY SHOPS,Hair & Beauty,2019-05-03,4588.0,0,,0.0
0062X00000xAtgeQAC,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2019-02-12,16800.0,0,,0.0
0062X00000wGqEyQAK,MENS & WOMENS CLOTHING STORES,Other Retailer,2018-10-18,17400.0,0,,0.0
0062X00000xanJeQAI,FLOOR COVERING STORES,Other Retailer,2019-04-10,40250.0,0,,0.0
0062X00000vOUfQQAW,PET SHOPS PET FOODS & SUPPLIES,Other Retailer,2018-08-13,4690.0,0,,0.0
0062X00000y4SyTQAU,RESTAURANTS (EXCEPT EXPRESS),Bar / Pub / Restaurant,2019-05-23,6900.0,0,,0.0
